category (auto-filled),subcategory (auto-filled),insight_subject,insight_tag,is_used_for_explanation,Is changed 2025-03?,,changed_used_exp_0328
Dating,Communication,Conflict resolution,Appreciates gestures with apologies,FALSE,TRUE,Wording change,
Dating,Communication,Conflict resolution,Approaches conflicts with a level head,FALSE,TRUE,Split,
Dating,Communication,Conflict resolution,Can forgive and forget,FALSE,TRUE,Wording change,
Dating,Communication,Conflict resolution,Can't forgive and forget,FALSE,TRUE,Wording change,
Dating,Communication,Conflict resolution,Communicates directly in conflicts,FALSE,TRUE,Wording change,
Dating,Communication,Conflict resolution,Needs space post-conflict,FALSE,TRUE,Split,
Dating,Communication,Conflict resolution,Non-confrontational in conflicts,FALSE,TRUE,Wording change,
Dating,Communication,Conflict resolution,Seeks physical comfort post-conflict,FALSE,TRUE,New,
Dating,Communication,Conflict resolution,Tends to be avoidant,FALSE,FALSE,Same,
Dating,Communication,Conflict resolution,Uses humor to reconnect,FALSE,TRUE,New,
Dating,Communication,Conversation medium,Casual & informal texter,TRUE,TRUE,Split,
Dating,Communication,Conversation medium,Communicates through memes and emojis,TRUE,FALSE,Same,
Dating,Communication,Conversation medium,Communicates through photos and images,TRUE,FALSE,Same,
Dating,Communication,Conversation medium,Not a texter,FALSE,FALSE,Same,TRUE
Dating,Communication,Conversation medium,Prefers phone calls,TRUE,TRUE,Wording change,
Dating,Communication,Conversation medium,Prefers texting,TRUE,TRUE,Wording change,
Dating,Communication,Conversation medium,Prefers video calls,TRUE,TRUE,Wording change,
Dating,Communication,Conversation medium,Texts using proper grammar,TRUE,TRUE,Split,
Dating,Communication,Conversation medium,Values in-person communication,TRUE,FALSE,Same,
Dating,Communication,Directness,Avoids debates with partner,FALSE,FALSE,Same,TRUE
Dating,Communication,Directness,Open to differences,TRUE,TRUE,New,
Dating,Communication,Directness,Prefers sensitive communication,FALSE,FALSE,Same,TRUE
Dating,Communication,Directness,Values direct communication,TRUE,FALSE,Same,
Dating,Dating expectations,Dating intention,5 dates a week could be fun,TRUE,TRUE,New,
Dating,Dating expectations,Dating intention,5 dates a week is too many,FALSE,TRUE,New,TRUE
Dating,Dating expectations,Dating intention,Dating is about enjoying new experiences,TRUE,FALSE,Same,
Dating,Dating expectations,Dating intention,Desires passionate intimacy in dating,TRUE,FALSE,Same,
Dating,Dating expectations,Dating intention,Hopes a date turns into a relationship,TRUE,FALSE,Same,
Dating,Dating expectations,Dating intention,Hopes to gain self-confidence from dates,FALSE,FALSE,Same,TRUE
Dating,Dating expectations,Dating intention,Interested in multiple casual meet-ups,FALSE,FALSE,Same,TRUE
Dating,Dating expectations,Dating intention,Looking for friends,TRUE,FALSE,Same,
Dating,Dating expectations,Dating intention,Never dated a friend,FALSE,TRUE,New,
Dating,Dating expectations,Dating intention,Not open to dating a friend,FALSE,TRUE,Wording change,
Dating,Dating expectations,Dating intention,Ok with multiple situationships,FALSE,TRUE,Split,TRUE
Dating,Dating expectations,Dating intention,Open to dating a friend,FALSE,TRUE,Wording change,
Dating,Dating expectations,Dating intention,Open to exploring many dating options,FALSE,FALSE,Same,TRUE
Dating,Dating expectations,Dating intention,Open to long distance dating,FALSE,TRUE,Split,
Dating,Dating expectations,Dating intention,Open to moderate traveling for dates,FALSE,FALSE,Same,
Dating,Dating expectations,Dating intention,Open to never marrying,FALSE,TRUE,New,TRUE
Dating,Dating expectations,Dating intention,Prefers local dating,TRUE,FALSE,Same,
Dating,Dating expectations,Dating intention,Seeks deep connection with one person,TRUE,FALSE,Same,
Dating,Dating expectations,Dating intention,Seeks fun and lighthearted dating,TRUE,FALSE,Same,
Dating,Dating expectations,Dating intention,Wants intention and commitment,TRUE,TRUE,Wording change,
Dating,Dating expectations,Dating intention,Wants to connect casually,TRUE,TRUE,Wording change,
Dating,Dating expectations,Dating intention,Wants to marry eventually,TRUE,TRUE,Wording change,
Dating,Relationship expectations,Attitudes toward monogamy/polyamory,Jealousy indicates healthy relationship,FALSE,FALSE,Same,TRUE
Dating,Relationship expectations,Attitudes toward monogamy/polyamory,Jealousy means unhealthy relationship,FALSE,FALSE,Same,TRUE
Dating,Relationship expectations,Attitudes toward monogamy/polyamory,Open to open relationships,FALSE,TRUE,Wording change,TRUE
Dating,Relationship expectations,Attitudes toward monogamy/polyamory,Open to polyamory,FALSE,FALSE,Same,TRUE
Dating,Relationship expectations,Attitudes toward monogamy/polyamory,Prefers strict monogamy,TRUE,FALSE,Same,
Dating,Relationship expectations,Independence,A partner's social circle matters,FALSE,FALSE,Same,
Dating,Relationship expectations,Independence,Appreciates partner's need for space,FALSE,FALSE,Same,TRUE
Dating,Relationship expectations,Independence,Can meet partner's friends,TRUE,TRUE,New,
Dating,Relationship expectations,Independence,Don't need to meet partner's friends,FALSE,TRUE,New,TRUE
Dating,Relationship expectations,Independence,Enjoys togetherness and personal space,FALSE,FALSE,Same,TRUE
Dating,Relationship expectations,Independence,Open & transparent,TRUE,TRUE,Split,
Dating,Relationship expectations,Independence,Prefers being around partner,TRUE,FALSE,Same,
Dating,Relationship expectations,Independence,"Shares big moments, values personal time",TRUE,FALSE,Same,
Dating,Relationship expectations,Independence,Values digital privacy,TRUE,TRUE,New,
Dating,Relationship expectations,Independence,Values time away from partner,FALSE,TRUE,Split,TRUE
Dating,Relationship expectations,Relationship Values,Brings the fun,TRUE,TRUE,New,
Dating,Relationship expectations,Relationship Values,Makes dates exciting,TRUE,TRUE,New,
Dating,Relationship expectations,Relationship Values,Clear communicator,TRUE,TRUE,Split,
Dating,Relationship expectations,Relationship Values,Good sense of humor,TRUE,TRUE,Split,
Dating,Relationship expectations,Relationship Values,Great conversationalist,TRUE,TRUE,Split,
Dating,Relationship expectations,Relationship Values,Great listener,TRUE,TRUE,Split,
Dating,Relationship expectations,Relationship Values,Inspirational,TRUE,TRUE,Split,
Dating,Relationship expectations,Relationship Values,Intellectual,TRUE,TRUE,Split,
Dating,Relationship expectations,Relationship Values,Mature,TRUE,TRUE,New,
Dating,Relationship expectations,Relationship Values,Often the empath in a relationship,TRUE,FALSE,Same,
Dating,Relationship expectations,Relationship Values,Open minded,TRUE,TRUE,Split,
Dating,Relationship expectations,Relationship Values,Physically attractive,FALSE,TRUE,Wording change,
Dating,Relationship expectations,Relationship Values,Prefers having shared values,FALSE,TRUE,Split,TRUE
Dating,Relationship expectations,Relationship Values,Shared values are essential,FALSE,TRUE,Split,TRUE
Dating,Relationship expectations,Relationship Values,Trustworthy,TRUE,TRUE,Split,
Dating,Relationship expectations,Relationship Values,Values emotional connection,TRUE,FALSE,Same,
Dating,Relationship expectations,Relationship Values,Values physical chemistry,TRUE,FALSE,Same,
Dating,Romanticism,Love language,Appreciates verbal encouragement,TRUE,FALSE,Same,
Dating,Romanticism,Love language,Cherishes thoughtful gifts,TRUE,FALSE,Same,
Dating,Romanticism,Love language,Comforts sad friend with food,FALSE,FALSE,Same,TRUE
Dating,Romanticism,Love language,Distracts sad friend with activities,FALSE,FALSE,Same,TRUE
Dating,Romanticism,Love language,Enjoys physical comfort,TRUE,TRUE,Wording change,
Dating,Romanticism,Love language,Prefers non-physical affection,TRUE,FALSE,Same,
Dating,Romanticism,Love language,Prioritizes spending time together,TRUE,FALSE,Same,
Dating,Romanticism,Love language,Seeks emotional support,TRUE,TRUE,Wording change,
Dating,Romanticism,Love language,Struggles with receiving affection,FALSE,FALSE,Same,
Dating,Romanticism,Love language,Uses humor to uplift,TRUE,FALSE,Same,
Dating,Romanticism,Love language,Values helpful actions,TRUE,FALSE,Same,
Dating,Romanticism,Love language,Values physical affection,TRUE,FALSE,Same,
Dating,Sex,Expectations around sex,Believes sex history matters,FALSE,TRUE,New,TRUE
Dating,Sex,Expectations around sex,Cautious about first-date intimacy,TRUE,FALSE,Same,
Dating,Sex,Expectations around sex,Open to first-date intimacy,TRUE,FALSE,Same,
Dating,Sex,Expectations around sex,Open to friends with benefits,FALSE,TRUE,Split,TRUE
Dating,Sex,Expectations around sex,Post-intimacy connection isn't important,TRUE,FALSE,Same,
Dating,Sex,Expectations around sex,Post-intimacy connection matters,TRUE,FALSE,Same,
Dating,Sex,Expectations around sex,Prefers daily sex,TRUE,TRUE,Split,
Dating,Sex,Expectations around sex,Prefers fast-paced relationships,TRUE,FALSE,Same,
Dating,Sex,Expectations around sex,Prefers sex a few times a month,TRUE,TRUE,Split,
Dating,Sex,Expectations around sex,Prefers sex a few times a week,TRUE,TRUE,Split,
Dating,Sex,Expectations around sex,Sex history doesn't matter,TRUE,TRUE,Split,
Dating,Sex,Expectations around sex,Takes relationships slow,TRUE,TRUE,Wording change,
Dating,Sex,Expectations around sex,Values frequent intimacy,TRUE,TRUE,Split,
Dating,Sex,Sex adventurousness,Don't want kinky sex,TRUE,TRUE,Split,
Dating,Sex,Sex adventurousness,Into kinky sex,TRUE,TRUE,Split,
Dating,Sex,Sex adventurousness,Open to adventurous intimacy,TRUE,FALSE,Same,
Dating,Sex,Sex adventurousness,Open to sex without emotions,FALSE,TRUE,Split,TRUE
Dating,Sex,Sex adventurousness,Prefers traditional intimacy,TRUE,FALSE,Same,
Dating,Sex,Sex adventurousness,Seeks adventurous intimacy,TRUE,FALSE,Same,
Dating,Sex,Sex adventurousness,Sex is about passion and chemistry,TRUE,FALSE,Same,
Dating,Sex,Sex adventurousness,Sex requires emotional connection,TRUE,TRUE,Split,
Dating,Sex,Sex adventurousness,Takes charge during sex,TRUE,TRUE,New,
Dating,Sex,Sex adventurousness,They follow my lead during sex,FALSE,TRUE,New,TRUE
Interests,Arts & Science,Artistry,Appreciates handmade gifts,TRUE,TRUE,Split,
Interests,Arts & Science,Artistry,Art is important in my life,TRUE,TRUE,Split,
Interests,Arts & Science,Artistry,Art is not important in my life,TRUE,TRUE,New,
Interests,Arts & Science,Artistry,Artist,TRUE,FALSE,Same,
Interests,Arts & Science,Artistry,Artistic,TRUE,TRUE,Wording change,
Interests,Arts & Science,Artistry,Enjoys dancing,TRUE,TRUE,Wording change,
Interests,Arts & Science,Artistry,Enjoys digital art,TRUE,FALSE,Same,
Interests,Arts & Science,Artistry,Enjoys makeup artistry or cosplay,TRUE,FALSE,Same,
Interests,Arts & Science,Artistry,Enjoys photography,TRUE,FALSE,Same,
Interests,Arts & Science,Artistry,Enjoys poetry,TRUE,FALSE,Same,
Interests,Arts & Science,Artistry,Enjoys singing,TRUE,TRUE,Wording change,
Interests,Arts & Science,Artistry,Fashion enthusiast,TRUE,FALSE,Same,
Interests,Arts & Science,Artistry,Likes creative writing,TRUE,FALSE,Same,
Interests,Arts & Science,Artistry,Likes to draw or paint,TRUE,FALSE,Same,
Interests,Arts & Science,Artistry,Not artistic,FALSE,TRUE,New,TRUE
Interests,Arts & Science,Artistry,Partner can be unartistic,TRUE,TRUE,Split,
Interests,Arts & Science,Artistry,Seeks artistic partner,TRUE,TRUE,Split,
Interests,Arts & Science,Pastimes,Enjoys a lively debate,TRUE,TRUE,New,
Interests,Arts & Science,Pastimes,Enjoys casual chats,TRUE,FALSE,Same,
Interests,Arts & Science,Pastimes,Enjoys gardening,TRUE,FALSE,Same,
Interests,Arts & Science,Pastimes,Enjoys intimate chats,TRUE,FALSE,Same,
Interests,Arts & Science,Pastimes,Enjoys journaling,TRUE,TRUE,Same,
Interests,Arts & Science,Pastimes,Enjoys learning,TRUE,TRUE,Same,
Interests,Arts & Science,Pastimes,Enjoys puzzles or sudokus,TRUE,FALSE,Same,
Interests,Arts & Science,Pastimes,Enjoys reading,TRUE,FALSE,Same,
Interests,Arts & Science,Pastimes,Enjoys scientific facts,TRUE,TRUE,Wording change,
Interests,Arts & Science,Pastimes,Enjoys shopping,TRUE,TRUE,Wording change,
Interests,Arts & Science,Pastimes,Enjoys teaching others,TRUE,TRUE,Split,
Interests,Arts & Science,Pastimes,Enjoys watching video,TRUE,TRUE,Wording change,
Interests,Arts & Science,Pastimes,Handy around the house,TRUE,TRUE,Split,
Interests,Arts & Science,Pastimes,Handy with power tools,TRUE,TRUE,New,
Interests,Arts & Science,Pastimes,Likes to listen to podcasts or radios,TRUE,FALSE,Same,
Interests,Arts & Science,Pastimes,Likes to watch documentaries,TRUE,FALSE,Same,
Interests,Arts & Science,Pastimes,Likes to watch TV shows,TRUE,FALSE,Same,
Interests,Arts & Science,Pastimes,Not handy with power tools,FALSE,TRUE,New,TRUE
Interests,Arts & Science,Pastimes,Volunteers,TRUE,TRUE,Split,
Interests,Entertainment,Favorite Movie,Action movie fan,TRUE,TRUE,Wording change,
Interests,Entertainment,Favorite Movie,Animated movie fan,TRUE,TRUE,Wording change,
Interests,Entertainment,Favorite Movie,Comedy movie fan,TRUE,TRUE,Wording change,
Interests,Entertainment,Favorite Movie,Disney fan,TRUE,FALSE,Same,
Interests,Entertainment,Favorite Movie,Doesn't mind talking during movies,FALSE,TRUE,Split,TRUE
Interests,Entertainment,Favorite Movie,Doesn't need to love Star Wars,FALSE,TRUE,New,TRUE
Interests,Entertainment,Favorite Movie,Drama movies fan,TRUE,FALSE,Same,
Interests,Entertainment,Favorite Movie,Harry Potter fan,TRUE,FALSE,Same,
Interests,Entertainment,Favorite Movie,Historical movie fan,TRUE,TRUE,Wording change,
Interests,Entertainment,Favorite Movie,Horror and thriller movie fan,TRUE,TRUE,Split,
Interests,Entertainment,Favorite Movie,Horror movie fan,TRUE,TRUE,Split,
Interests,Entertainment,Favorite Movie,Likes movie dates,TRUE,TRUE,Wording change,
Interests,Entertainment,Favorite Movie,Marvel movies fan,TRUE,FALSE,Same,
Interests,Entertainment,Favorite Movie,No movie dates,FALSE,TRUE,New,TRUE
Interests,Entertainment,Favorite Movie,Not a fan of movies,FALSE,FALSE,Same,TRUE
Interests,Entertainment,Favorite Movie,Not a talker during movies,FALSE,TRUE,Wording change,TRUE
Interests,Entertainment,Favorite Movie,Pixar movie lover,TRUE,FALSE,Same,
Interests,Entertainment,Favorite Movie,Romance movie fan,TRUE,TRUE,Wording change,
Interests,Entertainment,Favorite Movie,Sci-fi movie fan,TRUE,TRUE,Wording change,
Interests,Entertainment,Favorite Movie,Star Wars fan,TRUE,FALSE,Same,
Interests,Entertainment,Favorite Movie,Talks during movies,TRUE,TRUE,Split,
Interests,Entertainment,Favorite Movie,Thriller movie fan,TRUE,TRUE,Wording change,
Interests,Entertainment,Music,Likes classical music,TRUE,TRUE,Wording change,
Interests,Entertainment,Music,Likes country music,TRUE,TRUE,Wording change,
Interests,Entertainment,Music,Likes EDM,TRUE,TRUE,Wording change,
Interests,Entertainment,Music,Likes heavy metal music,TRUE,TRUE,Wording change,
Interests,Entertainment,Music,Likes hip hop music,TRUE,TRUE,Wording change,
Interests,Entertainment,Music,Likes jazz music,TRUE,TRUE,Wording change,
Interests,Entertainment,Music,Likes K-pop,TRUE,TRUE,Wording change,
Interests,Entertainment,Music,Likes pop music,TRUE,TRUE,Wording change,
Interests,Entertainment,Music,Likes rock & roll music,TRUE,TRUE,Wording change,
Interests,Entertainment,Music,Loves to sing,TRUE,FALSE,Same,
Interests,Entertainment,Music,Music lover,TRUE,FALSE,Same,
Interests,Entertainment,Music,Musically talented,TRUE,FALSE,Same,
Interests,Entertainment,Music,Not a fan of singing,TRUE,FALSE,Same,
Interests,Entertainment,Music,Not a music lover,TRUE,TRUE,New,
Interests,Entertainment,Music,Plays an instrument,TRUE,FALSE,Same,
Interests,Entertainment,Music,Prefers to listen,FALSE,TRUE,Split,TRUE
Interests,Fitness,Active lifestyle compatibility,Afternoon exerciser,TRUE,TRUE,Split,
Interests,Fitness,Active lifestyle compatibility,Early morning exerciser,TRUE,TRUE,Split,
Interests,Fitness,Active lifestyle compatibility,Enjoys cardiovascular exercises,TRUE,FALSE,Same,
Interests,Fitness,Active lifestyle compatibility,Enjoys group exercise classes,TRUE,TRUE,Wording change,
Interests,Fitness,Active lifestyle compatibility,Evening exerciser,TRUE,TRUE,Split,
Interests,Fitness,Active lifestyle compatibility,Exercise is a lower priority,FALSE,TRUE,Split,
Interests,Fitness,Active lifestyle compatibility,Exercises for health goals,TRUE,FALSE,Same,
Interests,Fitness,Active lifestyle compatibility,Exercises for mental clarity,TRUE,FALSE,Same,
Interests,Fitness,Active lifestyle compatibility,Fitness is important,TRUE,FALSE,Same,
Interests,Fitness,Active lifestyle compatibility,Morning exerciser,TRUE,TRUE,Split,
Interests,Fitness,Active lifestyle compatibility,Motivated to exercise,TRUE,TRUE,Split,
Interests,Fitness,Active lifestyle compatibility,Motivates me to be better,TRUE,TRUE,Split,
Interests,Fitness,Active lifestyle compatibility,Open to exercising together,TRUE,TRUE,Wording change,
Interests,Fitness,Active lifestyle compatibility,Partner doesn't need to be fit,TRUE,TRUE,Split,
Interests,Fitness,Active lifestyle compatibility,Prefers at-home workouts,TRUE,TRUE,Wording change,
Interests,Fitness,Active lifestyle compatibility,Prefers gym-based fitness routines,TRUE,FALSE,Same,
Interests,Fitness,Active lifestyle compatibility,Prefers strength training over cardio,FALSE,FALSE,Same,
Interests,Fitness,Active lifestyle compatibility,Prefers to work out alone,FALSE,TRUE,Wording change,
Interests,Fitness,Active lifestyle compatibility,Prefers to workout in a studio,TRUE,FALSE,Same,
Interests,Fitness,Active lifestyle compatibility,Prefers to workout outside,TRUE,FALSE,Same,
Interests,Fitness,Active lifestyle compatibility,Seeks physically fit partner,FALSE,TRUE,Split,
Interests,Fitness,Active lifestyle compatibility,Unmotivated to exercise,FALSE,TRUE,Wording change,
Interests,Fitness,Active lifestyle compatibility,Values a partner's fitness,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,American football fan,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Aquatic sports enthusiast,TRUE,FALSE,Same,
Interests,Fitness,Active lifestyle compatibility,Athlete,TRUE,FALSE,Same,
Interests,Fitness,Fitness/Sports,Bowler,TRUE,FALSE,Same,
Interests,Fitness,Fitness/Sports,Cyclist,TRUE,FALSE,Same,
Interests,Fitness,Fitness/Sports,Does yoga,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Doesn't enjoy casual team sports,FALSE,TRUE,New,TRUE
Interests,Fitness,Fitness/Sports,Doesn't play sports with partner,FALSE,TRUE,Split,TRUE
Interests,Fitness,Fitness/Sports,Enjoys archery,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Enjoys ATVing,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Enjoys badminton,TRUE,TRUE,Wording change,
Interests,Fitness,Fitness/Sports,Enjoys baseball,TRUE,TRUE,Wording change,
Interests,Fitness,Fitness/Sports,Enjoys basketball,TRUE,TRUE,Wording change,
Interests,Fitness,Fitness/Sports,Enjoys boxing,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Enjoys casual team sports,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Enjoys cornhole,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Enjoys cricket,TRUE,TRUE,Wording change,
Interests,Fitness,Fitness/Sports,Enjoys croquet,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Enjoys figure skating,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Enjoys fishing,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Enjoys frisbee,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Enjoys golf,TRUE,TRUE,Wording change,
Interests,Fitness,Fitness/Sports,Enjoys hockey,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Enjoys kayaking,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Enjoys mountain biking,TRUE,TRUE,Wording change,
Interests,Fitness,Fitness/Sports,Enjoys pickleball,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Enjoys playing pool,TRUE,FALSE,Same,
Interests,Fitness,Fitness/Sports,Enjoys river rafting,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Enjoys rugby,TRUE,TRUE,New,
Interests,Fitness,Fitness/Sports,Enjoys skiing,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Enjoys snowboarding,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Enjoys soccer,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Enjoys football,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Enjoys tennis,TRUE,TRUE,Wording change,
Interests,Fitness,Fitness/Sports,Fencing enthusiast,TRUE,FALSE,Same,
Interests,Fitness,Fitness/Sports,Figure skating fan,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Formula One fan,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Martial arts enthusiast,TRUE,FALSE,Same,
Interests,Fitness,Fitness/Sports,Mind-body wellness enthusiast,TRUE,FALSE,Same,
Interests,Fitness,Fitness/Sports,MMA fan,TRUE,FALSE,Same,
Interests,Fitness,Fitness/Sports,Motor sports fan,TRUE,FALSE,Same,
Interests,Fitness,Fitness/Sports,Netball fan,TRUE,FALSE,Same,
Interests,Fitness,Fitness/Sports,Open to watching combat sports,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Padel player,TRUE,FALSE,Same,
Interests,Fitness,Fitness/Sports,Plays sports with partner,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Roller skater,TRUE,TRUE,Split,
Interests,Fitness,Fitness/Sports,Sports lover,TRUE,FALSE,Same,
Interests,Fitness,Fitness/Sports,Table tennis player,TRUE,FALSE,Same,
Interests,Fitness,Fitness/Sports,Urban sports enthusiast,TRUE,FALSE,Same,
Interests,Fitness,Fitness/Sports,Volleyball fan,TRUE,TRUE,Wording change,
Interests,Fitness,Fitness/Sports,Winter sports enthusiast,TRUE,FALSE,Same,
Interests,Fitness,Fitness/Sports,Works out regularly,TRUE,FALSE,Same,
Interests,Fitness,Fitness/Sports,Wrestling fan,TRUE,TRUE,Split,
Interests,Hobbies & Interest,Cooking,Cooking is just a chore,FALSE,TRUE,Split,TRUE
Interests,Hobbies & Interest,Cooking,Cooks creatively,TRUE,TRUE,Wording change,
Interests,Hobbies & Interest,Cooking,Cooks using a recipe,TRUE,TRUE,Split,
Interests,Hobbies & Interest,Cooking,Enjoys cooking with partner,TRUE,TRUE,Split,
Interests,Hobbies & Interest,Cooking,Likes making smoothies or blended drinks,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Cooking,Likes to cook for others,TRUE,TRUE,Split,
Interests,Hobbies & Interest,Cooking,Loves to bake,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Cooking,Loves to cook,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Cooking,Open to cooking with partner,TRUE,TRUE,Split,
Interests,Hobbies & Interest,Cooking,Partner doesn't need to cook,FALSE,TRUE,New,TRUE
Interests,Hobbies & Interest,Cooking,Prefers food delivery or takeouts,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Cooking,Prefers not to cook with partner,FALSE,TRUE,Split,TRUE
Interests,Hobbies & Interest,Cooking,Relies on quick and easy meal prep,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Cooking,Wants partner who can cook,TRUE,TRUE,New,
Interests,Hobbies & Interest,Creative date preferences,Creative hobbies are lower priority,FALSE,FALSE,Same,TRUE
Interests,Hobbies & Interest,Creative date preferences,Doesn't enjoy working with hands,FALSE,TRUE,New,TRUE
Interests,Hobbies & Interest,Creative date preferences,Enjoys aquarium visits,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Creative date preferences,Enjoys comedy shows,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Creative date preferences,Enjoys creative projects,TRUE,TRUE,Wording change,
Interests,Hobbies & Interest,Creative date preferences,Enjoys dance performances,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Creative date preferences,Enjoys escape cafes,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Creative date preferences,Enjoys exhibitions and expos,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Creative date preferences,Enjoys exploring art galleries,TRUE,FALSE,Same,
