category (auto-filled),subcategory (auto-filled),insight_subject,insight_tag,is_used_for_explanation,Is changed 2025-03?,,changed_used_exp_0328
Interests,Hobbies & Interest,Creative date preferences,Enjoys festivals and fairs,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Creative date preferences,Enjoys hands-on creative projects,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Creative date preferences,Enjoys live music performances,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Creative date preferences,Enjoys museums,TRUE,TRUE,Wording change,
Interests,Hobbies & Interest,Creative date preferences,Enjoys musicals,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Creative date preferences,Enjoys paint nights,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Creative date preferences,Enjoys peace in nature,TRUE,TRUE,Wording change,
Interests,Hobbies & Interest,Creative date preferences,Enjoys sporting events,TRUE,TRUE,Wording change,
Interests,Hobbies & Interest,Creative date preferences,Enjoys visiting theaters,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Creative date preferences,Enjoys working with hands,TRUE,TRUE,Split,
Interests,Hobbies & Interest,Creative date preferences,Has a creative hobby,TRUE,TRUE,Split,
Interests,Hobbies & Interest,Creative date preferences,Indie film enthusiast,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Creative date preferences,Likes wildlife & adventure,TRUE,TRUE,Wording change,
Interests,Hobbies & Interest,Creative date preferences,Not interested in museum visits,FALSE,FALSE,Same,TRUE
Interests,Hobbies & Interest,Creative date preferences,Savors cozy and relaxed moments,TRUE,TRUE,New,
Interests,Hobbies & Interest,Gaming compatibility,Don't like watching video games,FALSE,TRUE,Split,TRUE
Interests,Hobbies & Interest,Gaming compatibility,Enjoys puzzles or casual games,TRUE,TRUE,Split,
Interests,Hobbies & Interest,Gaming compatibility,Enjoys watching video games,TRUE,TRUE,Split,
Interests,Hobbies & Interest,Gaming compatibility,Gamer,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Gaming compatibility,Indifferent about gaming,TRUE,TRUE,Split,
Interests,Hobbies & Interest,Gaming compatibility,Not a gamer,FALSE,FALSE,Same,TRUE
Interests,Hobbies & Interest,Gaming compatibility,Occassionally plays games,TRUE,TRUE,Split,
Interests,Hobbies & Interest,Hobby compatibility,Don't need shared hobbies,FALSE,TRUE,Wording change,TRUE
Interests,Hobbies & Interest,Hobby compatibility,Interested in birding,TRUE,TRUE,Split,
Interests,Hobbies & Interest,Hobby compatibility,Interested in foraging,TRUE,TRUE,Split,
Interests,Hobbies & Interest,Hobby compatibility,Interested in interior design,TRUE,TRUE,Split,
Interests,Hobbies & Interest,Hobby compatibility,Interesting in antiquing,TRUE,TRUE,Split,
Interests,Hobbies & Interest,Hobby compatibility,Into taxidermy,TRUE,TRUE,Split,
Interests,Hobbies & Interest,Hobby compatibility,Prefers doing hobbies solo,FALSE,TRUE,Wording change,
Interests,Hobbies & Interest,Hobby compatibility,Shared hobbies are important,TRUE,TRUE,Wording change,
Interests,Hobbies & Interest,Hobby compatibility,Sharing a hobby matters in relationships,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,90s kid,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Active on social media,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Apple fan,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Astrology enthusiast,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Can operate industrial vehicle,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Car enthusiast,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Cartoon and anime fan,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Enjoys collecting,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Enjoys karaoke,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Geek,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Interior design enthusiast,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Knows CPR,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Loves to drive,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Military enthusiast,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Not active on social media,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Pop culture fan,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Serialy fan,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Stately home visitor,TRUE,FALSE,Same,
Interests,Hobbies & Interest,Unique interests,Tech enthusiast,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Adventurousness,Enjoys culture on weekends,TRUE,TRUE,Wording change,
Interests,Outdoor & Adventure,Adventurousness,Enjoys indoor activities,TRUE,TRUE,Split,
Interests,Outdoor & Adventure,Adventurousness,Enjoys indoor and outdoor activities,TRUE,TRUE,Wording change,
Interests,Outdoor & Adventure,Adventurousness,Enjoys the outdoors,TRUE,TRUE,Split,
Interests,Outdoor & Adventure,Adventurousness,Neutral about outdoor activities,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Adventurousness,Prefers leisurely outdoor activities,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Adventurousness,Prefers nightlife on weekends,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Adventurousness,Productive on weekends,TRUE,TRUE,Wording change,
Interests,Outdoor & Adventure,Adventurousness,Relaxes on weekends,TRUE,TRUE,Wording change,
Interests,Outdoor & Adventure,Adventurousness,Weekends are for friends,FALSE,FALSE,Same,
Interests,Outdoor & Adventure,Outdoor experiences,Dislikes camping,FALSE,FALSE,Same,TRUE
Interests,Outdoor & Adventure,Adventurousness,Doesn't enjoy the outdoors,FALSE,TRUE,Split,TRUE
Interests,Outdoor & Adventure,Outdoor experiences,Enjoys camping,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Outdoor experiences,Enjoys casual strolls,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Outdoor experiences,Enjoys climbing,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Outdoor experiences,Enjoys hiking,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Outdoor experiences,Enjoys picnics,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Outdoor experiences,Enjoys poolside gatherings,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Outdoor experiences,Enjoys trekking,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Outdoor experiences,Enjoys urban exploration,TRUE,TRUE,Wording change,
Interests,Outdoor & Adventure,Outdoor experiences,Likes beach trips,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Outdoor experiences,Loves to go fishing,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Outdoor experiences,Not a fan of hiking,FALSE,TRUE,Wording change,TRUE
Interests,Outdoor & Adventure,Outdoor experiences,Not interested in picnics,FALSE,FALSE,Same,TRUE
Interests,Outdoor & Adventure,Outdoor experiences,Prefers glamping,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Travel compatibility,Comfortable with flying when traveling,FALSE,FALSE,Same,
Interests,Outdoor & Adventure,Travel compatibility,Culture focused traveler,TRUE,TRUE,Wording change,
Interests,Outdoor & Adventure,Travel compatibility,Don't travel often,TRUE,TRUE,New,
Interests,Outdoor & Adventure,Travel compatibility,Enjoys beach vacations,TRUE,TRUE,Wording change,
Interests,Outdoor & Adventure,Travel compatibility,Enjoys completely relaxing vacations,FALSE,FALSE,Same,
Interests,Outdoor & Adventure,Travel compatibility,Enjoys music based vacations,TRUE,TRUE,New,
Interests,Outdoor & Adventure,Travel compatibility,Enjoys nature vacations,TRUE,TRUE,Split,
Interests,Outdoor & Adventure,Travel compatibility,Enjoys touristy vacations,TRUE,TRUE,New,
Interests,Outdoor & Adventure,Travel compatibility,Enjoys traveling,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Travel compatibility,Enjoys urban vacations,TRUE,TRUE,New,
Interests,Outdoor & Adventure,Travel compatibility,Food focused traveler,TRUE,TRUE,Wording change,
Interests,Outdoor & Adventure,Travel compatibility,Has a passport,FALSE,FALSE,Same,
Interests,Outdoor & Adventure,Travel compatibility,Not afraid of flying,FALSE,TRUE,Wording change,
Interests,Outdoor & Adventure,Travel compatibility,Not an international traveler,FALSE,TRUE,New,TRUE
Interests,Outdoor & Adventure,Travel compatibility,Open to high travel expenses,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Travel compatibility,Prefers beach relaxation vacations,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Travel compatibility,Prefers budget-friendly travel,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Travel compatibility,Prefers nature-focused vacations,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Travel compatibility,Prefers smooth travels without delays,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Travel compatibility,Prefers to avoid flying when traveling,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Travel compatibility,Prefers to travel with a solid plans,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Travel compatibility,Prefers to travel with flexible plans,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Travel compatibility,Relaxation focused traveler,TRUE,TRUE,Wording change,
Interests,Outdoor & Adventure,Travel compatibility,Stays in hostels when traveling,TRUE,TRUE,Wording change,
Interests,Outdoor & Adventure,Travel compatibility,Stays in hotels when traveling,TRUE,TRUE,Split,
Interests,Outdoor & Adventure,Travel compatibility,Touristy traveler,TRUE,TRUE,New,
Interests,Outdoor & Adventure,Travel compatibility,Travel is a big part of my life,TRUE,TRUE,Wording change,
Interests,Outdoor & Adventure,Travel compatibility,Travels to places with familiar language,TRUE,FALSE,Same,
Interests,Outdoor & Adventure,Travel compatibility,Travels with an itinerary,TRUE,TRUE,Wording change,
Interests,Outdoor & Adventure,Travel compatibility,Travels without an itinerary,TRUE,TRUE,Wording change,
Interests,Outdoor & Adventure,Travel compatibility,Would love to live on a boat,TRUE,TRUE,Split,
Interests,Outdoor & Adventure,Travel compatibility,Would not live on a boat,FALSE,TRUE,Split,TRUE
Interests,Pets,Pet compatibility,Allergic to cats and dogs,TRUE,TRUE,Split,
Interests,Pets,Pet compatibility,Cat allergy,TRUE,TRUE,Split,
Interests,Pets,Pet compatibility,Currently a pet owner,TRUE,FALSE,Same,
Interests,Pets,Pet compatibility,Dog allergy,TRUE,TRUE,Split,
Interests,Pets,Pet compatibility,Maybe interested in pets,TRUE,TRUE,Split,
Interests,Pets,Pet compatibility,Not allergic to animals,TRUE,TRUE,Split,
Interests,Pets,Pet compatibility,Not interested in pet adoption,FALSE,TRUE,Split,
Interests,Pets,Pet compatibility,Occasionally pet sits,TRUE,FALSE,Same,
Interests,Pets,Pet compatibility,Open to pet adoption,TRUE,TRUE,Wording change,
Interests,Pets,Pet friendliness,Animal lover,TRUE,FALSE,Same,
Interests,Pets,Pet friendliness,Bird lover,TRUE,FALSE,Same,
Interests,Pets,Pet friendliness,Cat lover,TRUE,FALSE,Same,
Interests,Pets,Pet friendliness,Doesn't need to love cats,FALSE,TRUE,New,
Interests,Pets,Pet friendliness,Doesn't need to love dogs,FALSE,TRUE,New,
Interests,Pets,Pet friendliness,Dog lover,TRUE,FALSE,Same,
Interests,Pets,Pet friendliness,Exotic pet lover,TRUE,FALSE,Same,
Interests,Pets,Pet friendliness,Loves dogs on dates,TRUE,TRUE,Wording change,
Interests,Pets,Pet friendliness,Loves pet fish,TRUE,FALSE,Same,
Interests,Pets,Pet friendliness,Not a plant parent,FALSE,TRUE,New,
Interests,Pets,Pet friendliness,Plant parent,TRUE,FALSE,Same,
Interests,Pets,Pet friendliness,Prefers dog-free dates,FALSE,TRUE,New,
Interests,Pets,Pet friendliness,Prefers no pets,FALSE,FALSE,Same,TRUE
Interests,Pets,Pet friendliness,Scared of animals,TRUE,FALSE,Same,
Interests,Recreational Drugs,Views on recreational drugs,Does not use drugs,FALSE,FALSE,Same,
Lifestyle,Career,Career priorities,Bachelor's degree,FALSE,FALSE,Same,
Lifestyle,Career,Career priorities,Balances work and life,TRUE,FALSE,Same,
Lifestyle,Career,Career priorities,Career-focused,TRUE,TRUE,Wording change,
Lifestyle,Career,Career priorities,Has a clear career goal,TRUE,FALSE,Same,
Lifestyle,Career,Career priorities,High school graduate,FALSE,FALSE,Same,
Lifestyle,Career,Career priorities,In college,FALSE,FALSE,Same,
Lifestyle,Career,Career priorities,In grad school,FALSE,FALSE,Same,
Lifestyle,Career,Career priorities,In trade school,FALSE,FALSE,Same,
Lifestyle,Career,Career priorities,Master's,FALSE,FALSE,Same,
Lifestyle,Career,Career priorities,No set 5-year career plan,FALSE,TRUE,New,
Lifestyle,Career,Career priorities,Open to moving for dream job,FALSE,TRUE,Split,
Lifestyle,Career,Career priorities,Open to relocating for career,FALSE,FALSE,Same,
Lifestyle,Career,Career priorities,Open to travel for work,FALSE,TRUE,Split,
Lifestyle,Career,Career priorities,PhD,FALSE,FALSE,Same,
Lifestyle,Career,Career priorities,Plans to be financial provider,TRUE,TRUE,New,
Lifestyle,Career,Career priorities,Values partner's career,TRUE,TRUE,Split,
Lifestyle,Career,Career priorities,Values work fulfillment over titles,TRUE,FALSE,Same,
Lifestyle,Career,Career priorities,Wouldn't move away for dream job,FALSE,TRUE,New,
Lifestyle,Career,Work vibes,Currently has a job,FALSE,FALSE,Same,
Lifestyle,Career,Work vibes,Doesn't travel for work,TRUE,TRUE,Split,
Lifestyle,Career,Work vibes,Is in the professional service industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Not a business owner,FALSE,TRUE,New,
Lifestyle,Career,Work vibes,Owns a business,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Prefers similar work schedules,TRUE,TRUE,New,
Lifestyle,Career,Work vibes,Rarely or never travels for work,TRUE,TRUE,Split,
Lifestyle,Career,Work vibes,Regularly travels for work,TRUE,TRUE,Wording change,
Lifestyle,Career,Work vibes,Serves in the military,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Work is usually outside of 9 to 5,FALSE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in construction & real estate,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in engineering and infrastructure,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the agriculture industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the arts and media industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the aviation industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the culinary industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the e-commerce industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the education industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the entertainment industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the fashion industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the financial industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the food and beverage industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the healthcare industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the IT industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the legal industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the manufacturing industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the non-profit/NGO sector,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the pharmaceutical industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the retail industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the service industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in the sports industry,TRUE,FALSE,Same,
Lifestyle,Career,Work vibes,Works in transportation and logistics,TRUE,FALSE,Same,
Lifestyle,Drinking,Alcohol consumption,Beer lover,TRUE,FALSE,Same,
Lifestyle,Drinking,Alcohol consumption,Cocktail lover,TRUE,FALSE,Same,
Lifestyle,Drinking,Alcohol consumption,Espresso martini lover,TRUE,FALSE,Same,
Lifestyle,Drinking,Alcohol consumption,Frequent drinker,TRUE,FALSE,Same,
Lifestyle,Drinking,Alcohol consumption,Gin lover,TRUE,FALSE,Same,
Lifestyle,Drinking,Alcohol consumption,Hard seltzer lover,TRUE,FALSE,Same,
Lifestyle,Drinking,Alcohol consumption,Mezcal lover,TRUE,FALSE,Same,
Lifestyle,Drinking,Alcohol consumption,Non-drinker,TRUE,FALSE,Same,
Lifestyle,Drinking,Alcohol consumption,Occasional drinker,TRUE,FALSE,Same,
Lifestyle,Drinking,Alcohol consumption,Prefers coffee date over drinks,TRUE,TRUE,Wording change,
Lifestyle,Drinking,Alcohol consumption,Prefers drinks over a coffee date,TRUE,TRUE,New,
Lifestyle,Drinking,Alcohol consumption,Sake lover,TRUE,FALSE,Same,
Lifestyle,Drinking,Alcohol consumption,Shots lover,TRUE,FALSE,Same,
Lifestyle,Drinking,Alcohol consumption,Social drinker,TRUE,FALSE,Same,
Lifestyle,Drinking,Alcohol consumption,Tequila lover,TRUE,FALSE,Same,
Lifestyle,Drinking,Alcohol consumption,Vodka lover,TRUE,FALSE,Same,
Lifestyle,Drinking,Alcohol consumption,Weekend drinker,TRUE,FALSE,Same,
Lifestyle,Drinking,Alcohol consumption,Whiskey lover,TRUE,FALSE,Same,
Lifestyle,Drinking,Alcohol consumption,Wine lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Dietary restrictions,Consumes dairy,FALSE,TRUE,Split,
Lifestyle,Food & Cooking,Dietary restrictions,Doesn't consume dairy,FALSE,TRUE,New,
Lifestyle,Food & Cooking,Dietary restrictions,Follows a flexitarian diet,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Dietary restrictions,Follows a gluten-free diet,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Dietary restrictions,Follows a halal diet,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Dietary restrictions,Follows a ketogenic diet,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Dietary restrictions,Follows a kosher diet,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Dietary restrictions,Follows a pescatarian diet,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Dietary restrictions,Follows a vegan diet,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Dietary restrictions,Follows a vegetarian diet,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Dietary restrictions,Lactose intolerant,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Dietary restrictions,No dietary restrictions,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Dietary restrictions,Non-vegan,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Dietary restrictions,Not a picky eater,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Dining compatibility,Adventurous eater,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Dining compatibility,Craving-driven eater,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Dining compatibility,Doesn't hang out at cafes,FALSE,TRUE,Split,TRUE
Lifestyle,Food & Cooking,Dining compatibility,Enjoys American food,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Dining compatibility,Enjoys Asian food,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Dining compatibility,Enjoys fancy rooftop events,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Dining compatibility,Enjoys Italian food,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Dining compatibility,Enjoys trying new places,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Dining compatibility,Enjoys vegetarian food,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Dining compatibility,Likes mild spiciness,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Dining compatibility,Likes spicy and mild food,TRUE,TRUE,New,
Lifestyle,Food & Cooking,Dining compatibility,Likes spicy food,FALSE,FALSE,Same,
Lifestyle,Food & Cooking,Dining compatibility,Likes to visit new restaurants,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Dining compatibility,Loves hanging at cafes,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Dining compatibility,Meal planner,FALSE,TRUE,New,
Lifestyle,Food & Cooking,Dining compatibility,Not an adventurous eater,FALSE,TRUE,New,TRUE
Lifestyle,Food & Cooking,Dining compatibility,Prefers not to share food,FALSE,FALSE,Same,
Lifestyle,Food & Cooking,Dining compatibility,Shares food at restaurants,FALSE,TRUE,Wording change,TRUE
Lifestyle,Food & Cooking,Food preference,Avoids fast food,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Boba tea lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Burger lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Chinese food lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Coffee lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Coke lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Doesn't drink coffee,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Drinks soda,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Eats chicken,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Eats meat,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Food preference,Energy drink lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Enjoys bacon and eggs,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Food preference,Enjoys bananas,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Food preference,Enjoys bread,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Food preference,Enjoys cereal,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Food preference,Enjoys cheesecake,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Food preference,Enjoys chocolate,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Food preference,Enjoys cookies,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Food preference,Enjoys crepes,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Food preference,Enjoys croissants,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Food preference,Enjoys cronuts,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Food preference,Enjoys dim sum,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Food preference,Enjoys dining out,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Enjoys donuts,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Food preference,Enjoys fine dining,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Food preference,Enjoys ice cream,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Food preference,Enjoys muffins,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Food preference,Enjoys noodles,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Food preference,Enjoys pancake,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Food preference,Enjoys sandwiches,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Food preference,Enjoys shaved ice,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Food preference,Enjoys waffles,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Food preference,Enjoys yogurt,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Food preference,Frequently eats fast food,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Fries lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Global foodie explorer,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Indian food lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Japanese food lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Juice lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Kebab lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Korean food lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Likes brunch,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Likes fresh fruits,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Mexican food lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Momos lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Never orders takeout,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Food preference,Pasta lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Pizza lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Pragmatic coffee drinker,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Prefers healthy foods,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Food preference,Prefers healthy midnight snacks,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Prefers hearty midnight snacks,TRUE,FALSE,Same,
