category (auto-filled),subcategory (auto-filled),insight_subject,insight_tag,is_used_for_explanation,Is changed 2025-03?,,changed_used_exp_0328
Lifestyle,Food & Cooking,Food preference,Prefers quick midnight snacks,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Ramen lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Rarely eats fast food,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Rarely orders takeout,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Food preference,Regularly eats fast food,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Food preference,Regularly orders takeout,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Food preference,Salad lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Seafood lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Sometimes eats fast food,TRUE,TRUE,Wording change,
Lifestyle,Food & Cooking,Food preference,Sometimes orders takeout,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Food preference,Sophisticated cheese enthusiast,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Spanish food lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Street food lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Sushi lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Sweet tooth,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Taco lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Tea lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Thai food lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Vietnamese food lover,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Water is supreme over other drinks,TRUE,FALSE,Same,
Lifestyle,Food & Cooking,Food preference,Won't splurge on a special meal,TRUE,TRUE,New,
Lifestyle,Food & Cooking,Food preference,Would splurge on a special meal,TRUE,TRUE,New,
Lifestyle,Food & Cooking,Food preference,Zero coke drinker,TRUE,FALSE,Same,
Lifestyle,Sleep pattern,Daily routine compatibility,Active at night,TRUE,FALSE,Same,
Lifestyle,Sleep pattern,Daily routine compatibility,Early morning riser,TRUE,TRUE,Wording change,
Lifestyle,Sleep pattern,Daily routine compatibility,Flexible sleep schedule,TRUE,TRUE,Wording change,
Lifestyle,Sleep pattern,Daily routine compatibility,Highly adaptable to late nights,TRUE,FALSE,Same,
Lifestyle,Sleep pattern,Daily routine compatibility,Keeps a regular sleep schedule,TRUE,TRUE,Wording change,
Lifestyle,Sleep pattern,Daily routine compatibility,Open to different sleep schedules,TRUE,FALSE,Same,
Lifestyle,Sleep pattern,Daily routine compatibility,Similar sleep schedule is important,TRUE,FALSE,Same,
Lifestyle,Sleep pattern,Daily routine compatibility,Sleeps in late,TRUE,TRUE,Split,
Lifestyle,Smoking,Smoking,Avoids smoke in public,FALSE,FALSE,Same,
Lifestyle,Smoking,Smoking,Bothered by cigarette smoke,FALSE,TRUE,Wording change,
Lifestyle,Smoking,Smoking,Doesn't mind cigarette smoke,FALSE,TRUE,Wording change,
Lifestyle,Smoking,Smoking,Doesn't smoke hookah,FALSE,TRUE,New,
Lifestyle,Smoking,Smoking,Doesn't vape,FALSE,TRUE,New,
Lifestyle,Smoking,Smoking,Non-smoker,FALSE,FALSE,Same,
Lifestyle,Smoking,Smoking,Open to dating smokers,FALSE,FALSE,Same,
Lifestyle,Smoking,Smoking,Open to dating someone who vapes,FALSE,FALSE,Same,
Lifestyle,Smoking,Smoking,Prefers non-smoking partners,FALSE,FALSE,Same,
Lifestyle,Smoking,Smoking,Prefers someone who doesn't vape,FALSE,FALSE,Same,
Lifestyle,Smoking,Smoking,Smokes and/or vapes,FALSE,FALSE,Same,
Lifestyle,Smoking,Smoking,Smokes hookah,FALSE,TRUE,New,
Lifestyle,Smoking,Smoking,Trying to quit,FALSE,FALSE,Same,
Lifestyle,Smoking,Smoking,Vapes,FALSE,TRUE,New,
Values,Cleanliness,Organization,Casual about tidiness,TRUE,FALSE,Same,
Values,Cleanliness,Organization,Highly neat and organized,TRUE,FALSE,Same,
Values,Cleanliness,Organization,Is a minimalist,TRUE,FALSE,Same,
Values,Cleanliness,Organization,Minimalist,TRUE,TRUE,Wording change,
Values,Cleanliness,Organization,Needs to be tidy,TRUE,TRUE,Split,
Values,Cleanliness,Organization,Not a minimalist,TRUE,FALSE,Same,
Values,Cleanliness,Organization,Values cleanliness,TRUE,TRUE,Split,
Values,Current Family,Current family situation,Doesn't have kids,FALSE,TRUE,Split,
Values,Current Family,Current family situation,Has 2+ siblings,TRUE,TRUE,Split,
Values,Current Family,Current family situation,Has a sibling,TRUE,FALSE,Same,
Values,Current Family,Current family situation,Has a twin,TRUE,TRUE,Split,
Values,Current Family,Current family situation,Has an evil twin,TRUE,TRUE,Split,
Values,Current Family,Current family situation,Has kids,FALSE,TRUE,Split,
Values,Current Family,Current family situation,Has multiple siblings,TRUE,FALSE,Same,
Values,Current Family,Current family situation,Lives alone,TRUE,FALSE,Same,
Values,Current Family,Current family situation,Lives with a ghost,TRUE,TRUE,New,
Values,Current Family,Current family situation,Lives with family,TRUE,FALSE,Same,
Values,Current Family,Current family situation,Lives with pets,TRUE,FALSE,Same,
Values,Current Family,Current family situation,Lives with roommates,TRUE,TRUE,Wording change,
Values,Current Family,Current family situation,Not fond of family gatherings,FALSE,FALSE,Same,TRUE
Values,Current Family,Current family situation,Not open to dating someone with kids,FALSE,TRUE,Split,
Values,Current Family,Current family situation,Only child,TRUE,FALSE,Same,
Values,Current Family,Current family situation,Open to dating someone with kids,FALSE,TRUE,Split,
Values,Current Family,Current family situation,Single parent,TRUE,FALSE,Same,
Values,Future Family,Family planning,Doesn't want a child yet,TRUE,FALSE,Same,
Values,Future Family,Family planning,Happy with current number of children,FALSE,FALSE,Same,
Values,Future Family,Family planning,Not open to adoption,FALSE,FALSE,Same,
Values,Future Family,Family planning,Not open to being a stepparent,FALSE,TRUE,Split,
Values,Future Family,Family planning,Not open to fostering kids,FALSE,TRUE,Split,
Values,Future Family,Family planning,Open to adoption,TRUE,FALSE,Same,
Values,Future Family,Family planning,Open to being a stepparent,TRUE,TRUE,Split,
Values,Future Family,Family planning,Open to fostering kids,TRUE,TRUE,Split,
Values,Future Family,Family planning,Wants a big family,TRUE,TRUE,New,
Values,Future Family,Family planning,Wants children,TRUE,FALSE,Same,
Values,Future Family,Family values,Close with extended family,TRUE,TRUE,Split,
Values,Future Family,Family values,Enjoys time with family,TRUE,TRUE,Split,
Values,Future Family,Family values,Independent with minimal family contact,FALSE,FALSE,Same,TRUE
Values,Future Family,Family values,Not bound by family traditions,FALSE,FALSE,Same,TRUE
Values,Future Family,Family values,Occasionally connects with family,TRUE,FALSE,Same,
Values,Future Family,Family values,Regularly connects with family,TRUE,FALSE,Same,
Values,Future Family,Family values,Stays in touch with family,TRUE,TRUE,Split,
Values,Future Family,Family values,Strong family loyalty,TRUE,TRUE,Split,
Values,Future Family,Family values,Values family traditions,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Can be a different cultural background,FALSE,TRUE,Wording change,
Values,Open-mindedness,Cultural Background,Casual language learner,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Curious to learn languages,TRUE,TRUE,Wording change,
Values,Open-mindedness,Cultural Background,Eager to use newly learned langauge,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Has lived abroad,TRUE,TRUE,New,
Values,Open-mindedness,Cultural Background,Hasn't lived abroad,TRUE,TRUE,New,
Values,Open-mindedness,Cultural Background,Lives in Africa,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Lives in Australia,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Lives in Central Asia,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Lives in East Asia,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Lives in Europe,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Lives in New Zealand,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Lives in North America,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Lives in Polar Regions,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Lives in South America,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Lives in South Asia,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Lives in Southeast Asia,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Lives in the Middle East,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Lives in the Pacific Islands,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Lives in the US,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Multilingual,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Open to multilingual relationship,FALSE,TRUE,Wording change,
Values,Open-mindedness,Cultural Background,Preferably of shared cultural background,FALSE,TRUE,Split,
Values,Open-mindedness,Cultural Background,Prefers shared culture in dating,FALSE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Prefers to share language,FALSE,TRUE,Split,
Values,Open-mindedness,Cultural Background,Struggling with language learning,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Values family-oriented partner,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Values modern and independent partner,TRUE,FALSE,Same,
Values,Open-mindedness,Cultural Background,Values shared language in relationship,TRUE,FALSE,Same,
Values,Open-mindedness,Open-mindedness,Cautious about trying new things,TRUE,TRUE,Wording change,
Values,Open-mindedness,Open-mindedness,Doesn't have brightly dyed hair,FALSE,TRUE,Split,
Values,Open-mindedness,Open-mindedness,Doesn't have piercings,FALSE,TRUE,Split,
Values,Open-mindedness,Open-mindedness,Has common piercings,FALSE,FALSE,Same,TRUE
Values,Open-mindedness,Open-mindedness,Has piercings,FALSE,TRUE,Wording change,TRUE
Values,Open-mindedness,Open-mindedness,Has tattoos,FALSE,FALSE,Same,TRUE
Values,Open-mindedness,Open-mindedness,Like to try new dishes,TRUE,TRUE,Split,
Values,Open-mindedness,Open-mindedness,Likes trying new things,TRUE,TRUE,Split,
Values,Open-mindedness,Open-mindedness,No piercings,TRUE,TRUE,Split,
Values,Open-mindedness,Open-mindedness,No tattoos,TRUE,TRUE,Split,
Values,Open-mindedness,Open-mindedness,Open to exploring new social events,TRUE,FALSE,Same,
Values,Open-mindedness,Open-mindedness,Open to new forms of self-expression,TRUE,FALSE,Same,
Values,Open-mindedness,Open-mindedness,Open to trying new adventure sports,TRUE,FALSE,Same,
Values,Open-mindedness,Open-mindedness,Open to trying new foods,TRUE,TRUE,Split,
Values,Open-mindedness,Open-mindedness,Prefer my go-to order,TRUE,TRUE,Split,
Values,Open-mindedness,Open-mindedness,Prefers sticking with familiar dishes,TRUE,FALSE,Same,
Values,Personality,Ambition,Ambitious,TRUE,TRUE,Split,
Values,Personality,Ambition,Ambitious & career driven,TRUE,TRUE,Split,
Values,Personality,Ambition,Content with current job,TRUE,TRUE,Wording change,
Values,Personality,Ambition,Not planning to retire early,TRUE,TRUE,Wording change,
Values,Personality,Ambition,Open to early retirement,TRUE,TRUE,Split,
Values,Personality,Ambition,Seeking early retirement,TRUE,TRUE,Split,
Values,Personality,Ambition,Wants an ambitious partner,FALSE,TRUE,Split,
Values,Personality,Extroversion compatibility,Balances social and alone time,TRUE,TRUE,Split,
Values,Personality,Extroversion compatibility,Enjoys concerts,TRUE,TRUE,Wording change,
Values,Personality,Extroversion compatibility,Enjoys going out at night,TRUE,TRUE,Wording change,
Values,Personality,Extroversion compatibility,Enjoys intimate social settings,TRUE,TRUE,Wording change,
Values,Personality,Extroversion compatibility,Enjoys parties,TRUE,TRUE,Wording change,
Values,Personality,Extroversion compatibility,Enjoys regular gatherings,TRUE,FALSE,Same,
Values,Personality,Extroversion compatibility,Enjoys sports,TRUE,TRUE,Wording change,
Values,Personality,Extroversion compatibility,Extroverted,TRUE,TRUE,Split,
Values,Personality,Extroversion compatibility,Generally open to group travel,TRUE,FALSE,Same,
Values,Personality,Extroversion compatibility,Introverted,TRUE,TRUE,Split,
Values,Personality,Extroversion compatibility,Likes to socialize through live events,TRUE,FALSE,Same,
Values,Personality,Extroversion compatibility,Loves to travel with friends,TRUE,TRUE,Wording change,
Values,Personality,Extroversion compatibility,Prefers collaborative problem-solving,TRUE,FALSE,Same,
Values,Personality,Extroversion compatibility,Prefers independent problem-solving,TRUE,FALSE,Same,
Values,Personality,Extroversion compatibility,Prefers to travel solo,FALSE,TRUE,Wording change,
Values,Personality,Extroversion compatibility,Would rather stay home at night,TRUE,FALSE,Same,
Values,Personality,Personality,A little nerdy,TRUE,TRUE,Wording change,
Values,Personality,Personality,All about comfort and simplicity,TRUE,FALSE,Same,
Values,Personality,Personality,Appreciates good humor,TRUE,FALSE,Same,
Values,Personality,Personality,Aquarius,FALSE,FALSE,Same,
Values,Personality,Personality,Aries,FALSE,FALSE,Same,
Values,Personality,Personality,Cancer,FALSE,FALSE,Same,
Values,Personality,Personality,Capricorn,FALSE,FALSE,Same,
Values,Personality,Personality,Cheerful,TRUE,TRUE,Split,
Values,Personality,Personality,Decisive,TRUE,TRUE,Split,
Values,Personality,Personality,Dry sense of humor,FALSE,TRUE,Split,TRUE
Values,Personality,Personality,Empathetic,TRUE,TRUE,Split,
Values,Personality,Personality,ENFJ,FALSE,FALSE,Same,
Values,Personality,Personality,ENFP,FALSE,FALSE,Same,
Values,Personality,Personality,Enjoys dark humor,TRUE,TRUE,Split,
Values,Personality,Personality,Enjoys trying new things,TRUE,FALSE,Same,
Values,Personality,Personality,ENTJ,FALSE,FALSE,Same,
Values,Personality,Personality,ENTP,FALSE,FALSE,Same,
Values,Personality,Personality,ESFJ,FALSE,FALSE,Same,
Values,Personality,Personality,ESFP,FALSE,FALSE,Same,
Values,Personality,Personality,ESTJ,FALSE,FALSE,Same,
Values,Personality,Personality,ESTP,FALSE,FALSE,Same,
Values,Personality,Personality,Gemini,FALSE,FALSE,Same,
Values,Personality,Personality,Golden retriever energy,TRUE,TRUE,Split,
Values,Personality,Personality,Honest,TRUE,TRUE,New,
Values,Personality,Personality,Independent and bold,TRUE,FALSE,Same,
Values,Personality,Personality,INFJ,FALSE,FALSE,Same,
Values,Personality,Personality,INFP,FALSE,FALSE,Same,
Values,Personality,Personality,INTJ,FALSE,FALSE,Same,
Values,Personality,Personality,INTP,FALSE,FALSE,Same,
Values,Personality,Personality,ISFJ,FALSE,FALSE,Same,
Values,Personality,Personality,ISFP,FALSE,FALSE,Same,
Values,Personality,Personality,ISTJ,FALSE,FALSE,Same,
Values,Personality,Personality,ISTP,FALSE,FALSE,Same,
Values,Personality,Personality,Jokester,TRUE,TRUE,New,
Values,Personality,Personality,Kind,TRUE,TRUE,Split,
Values,Personality,Personality,Leo,FALSE,FALSE,Same,
Values,Personality,Personality,Libra,FALSE,FALSE,Same,
Values,Personality,Personality,Likes doing things solo,FALSE,TRUE,Split,
Values,Personality,Personality,Logical and analytical,TRUE,FALSE,Same,
Values,Personality,Personality,Loves dad jokes,TRUE,TRUE,Split,
Values,Personality,Personality,More of a supporter than leader,TRUE,TRUE,Wording change,
Values,Personality,Personality,Not a planner,TRUE,TRUE,New,
Values,Personality,Personality,Not golden retriever energy,FALSE,TRUE,New,
Values,Personality,Personality,Optimistic,TRUE,FALSE,Same,
Values,Personality,Personality,Organized and detail-oriented,TRUE,TRUE,Wording change,
Values,Personality,Personality,Physically fit,TRUE,TRUE,Split,
Values,Personality,Personality,Pisces,FALSE,FALSE,Same,
Values,Personality,Personality,Planner,TRUE,TRUE,Split,
Values,Personality,Personality,Problem-solver,TRUE,TRUE,Split,
Values,Personality,Personality,Reluctant but capable planner,TRUE,TRUE,Split,
Values,Personality,Personality,Reserved and introspective,TRUE,FALSE,Same,
Values,Personality,Personality,Sagittarius,FALSE,FALSE,Same,
Values,Personality,Personality,Sarcastic sense of humor,TRUE,TRUE,Split,
Values,Personality,Personality,Scorpio,FALSE,FALSE,Same,
Values,Personality,Personality,Seen as a leader,TRUE,TRUE,Split,
Values,Personality,Personality,Self-deprecating humor,TRUE,TRUE,Split,
Values,Personality,Personality,Self-motivated,TRUE,TRUE,New,
Values,Personality,Personality,Smart,TRUE,TRUE,Split,
Values,Personality,Personality,Taurus,FALSE,FALSE,Same,
Values,Personality,Personality,Values deep conversation,TRUE,TRUE,Split,
Values,Personality,Personality,Virgo,FALSE,FALSE,Same,
Values,Personality,Personality,White lies are not ok,TRUE,TRUE,New,
Values,Personality,Personality,White lies can be ok,TRUE,TRUE,New,
Values,Political views,Political alignment,Conservative in politics,FALSE,TRUE,Wording change,TRUE
Values,Political views,Political alignment,Does not support abortion,FALSE,TRUE,New,TRUE
Values,Political views,Political alignment,Doesn't need to follow politics,FALSE,TRUE,Wording change,TRUE
Values,Political views,Political alignment,Eco-friendly lifestyle advocate,FALSE,FALSE,Same,TRUE
Values,Political views,Political alignment,Follows politics,TRUE,TRUE,Wording change,
Values,Political views,Political alignment,Indifferent to eco-friendly lifestyle,FALSE,FALSE,Same,TRUE
Values,Political views,Political alignment,Indifferent to partner's political views,FALSE,FALSE,Same,TRUE
Values,Political views,Political alignment,Liberal in politics,FALSE,TRUE,Wording change,TRUE
Values,Political views,Political alignment,Moderately conservative,FALSE,FALSE,Same,TRUE
Values,Political views,Political alignment,Not interested in politics,TRUE,FALSE,Same,
Values,Political views,Political alignment,Opposes stricter gun control,FALSE,FALSE,Same,TRUE
Values,Political views,Political alignment,Prefers simliar political views,TRUE,TRUE,Wording change,
Values,Political views,Political alignment,Supports abortion with limits,FALSE,TRUE,New,TRUE
Values,Political views,Political alignment,Supports full abortion rights,FALSE,TRUE,New,TRUE
Values,Political views,Political alignment,Supports stricter gun control,FALSE,FALSE,Same,TRUE
Values,Political views,Social views,Advocates for economic equality,TRUE,FALSE,Same,
Values,Political views,Social views,Against banning hate speech,FALSE,TRUE,New,TRUE
Values,Political views,Social views,Against higher taxes for the rich,FALSE,TRUE,New,TRUE
Values,Political views,Social views,Believes in inclusivity for voting,TRUE,FALSE,Same,
Values,Political views,Social views,Fully distancing for covid,FALSE,FALSE,Same,
Values,Political views,Social views,Looks forward to Pride month,TRUE,TRUE,New,
Values,Political views,Social views,Masked for covid,FALSE,FALSE,Same,
Values,Political views,Social views,No longer distancing for covid,FALSE,FALSE,Same,
Values,Political views,Social views,Opposes government wealth redistribution,FALSE,FALSE,Same,TRUE
Values,Political views,Social views,Partially distancing for covid,FALSE,FALSE,Same,
Values,Political views,Social views,Social advocate/ activist,FALSE,FALSE,Same,TRUE
Values,Political views,Social views,Supports banning hate speech,FALSE,TRUE,New,TRUE
Values,Political views,Social views,Supports higher taxes for the rich,FALSE,TRUE,New,TRUE
Values,Political views,Social views,Supports nonviolent activism,TRUE,FALSE,Same,
Values,Political views,Social views,Supports stricter voting regulations,TRUE,FALSE,Same,
Values,Political views,Social views,Unvaccinated for covid,FALSE,FALSE,Same,
Values,Political views,Social views,Vaccinated for covid,FALSE,FALSE,Same,
Values,Political views,Social views,Violence can be a tool for justice,FALSE,FALSE,Same,
Values,Political views,View on Gender Roles,Believes gender inequality persists,TRUE,FALSE,Same,
Values,Political views,View on Gender Roles,Believes gender roles should be flexible,TRUE,FALSE,Same,
Values,Political views,View on Gender Roles,Indifferent to partner's income,TRUE,FALSE,Same,
Values,Political views,View on Gender Roles,Prefers double-income family model,TRUE,FALSE,Same,
Values,Political views,View on Gender Roles,Prefers partner with higer income,TRUE,FALSE,Same,
Values,Political views,View on Gender Roles,Sees value in traditional gender roles,TRUE,FALSE,Same,
Values,Political views,View on Gender Roles,Values single-income family model,TRUE,FALSE,Same,
Values,Religion,Religion,Actively follows a religion,TRUE,TRUE,Split,
Values,Religion,Religion,Believes in Karma,TRUE,TRUE,Split,
Values,Religion,Religion,Believes in things beyond the physical,TRUE,FALSE,Same,
Values,Religion,Religion,Buddhist,TRUE,FALSE,Same,
Values,Religion,Religion,Catholic,TRUE,FALSE,Same,
Values,Religion,Religion,Christian,TRUE,FALSE,Same,
Values,Religion,Religion,Doesn't have strong beliefs either way,TRUE,TRUE,Wording change,
Values,Religion,Religion,Doesn't observe religious holidays,TRUE,TRUE,Split,
Values,Religion,Religion,Faith outweighs science,TRUE,FALSE,Same,
Values,Religion,Religion,Hindu,TRUE,FALSE,Same,
Values,Religion,Religion,Identifes as spiritual,TRUE,TRUE,Wording change,
Values,Religion,Religion,Jewish,TRUE,FALSE,Same,
Values,Religion,Religion,Muslim,TRUE,FALSE,Same,
Values,Religion,Religion,Not religious,TRUE,TRUE,Split,
Values,Religion,Religion,Not very spiritual,TRUE,TRUE,Wording change,
Values,Religion,Religion,Observes religious holidays,TRUE,TRUE,Split,
Values,Religion,Religion,Observes some religous holidays,TRUE,TRUE,Wording change,
Values,Religion,Religion,Open to partner of any religion,FALSE,TRUE,Split,
Values,Religion,Religion,Prefer partner of same religion,FALSE,TRUE,Split,
Values,Religion,Religion,Prefers scientific reasoning,TRUE,TRUE,Wording change,
Values,Religion,Religion,Prioritizes science more than faith,TRUE,FALSE,Same,
Values,Religion,Religion,Religion can differ from mine,FALSE,TRUE,Split,
Values,Religion,Religion,Religion is not a focus,TRUE,TRUE,Split,
Values,Religion,Religion,Religious,FALSE,TRUE,Split,
Values,Religion,Religion,Same religion as mine,FALSE,TRUE,Split,
Values,Religion,Religion,Sikh,TRUE,FALSE,Same,
Values,Religion,Religion,Spiritual,TRUE,TRUE,Split,
Values,Spendy/thrifty,Financial tendencies,Casual budgeter,TRUE,FALSE,Same,
Values,Spendy/thrifty,Financial tendencies,Financial investment enthusiast,TRUE,TRUE,Wording change,
Values,Spendy/thrifty,Financial tendencies,Flexible with a budget,TRUE,TRUE,Split,
Values,Spendy/thrifty,Financial tendencies,Neutral towards budget-savvy partner,TRUE,FALSE,Same,
Values,Spendy/thrifty,Financial tendencies,Plans and saves for the future,TRUE,FALSE,Same,
Values,Spendy/thrifty,Financial tendencies,Prefers less budget-focused partner,TRUE,FALSE,Same,
Values,Spendy/thrifty,Financial tendencies,Spontaneous with financial decisions,TRUE,FALSE,Same,
Values,Spendy/thrifty,Financial tendencies,Sticks to a budget,TRUE,TRUE,Split,
Values,Spendy/thrifty,Money talks,Owns a home,TRUE,FALSE,Same,
Values,Spendy/thrifty,Money talks,Prefers experiences over things,TRUE,TRUE,New,
Values,Spendy/thrifty,Money talks,Prefers ownership of finances,TRUE,TRUE,Split,
Values,Spendy/thrifty,Money talks,Prefers partner manages finances,TRUE,TRUE,Split,
Values,Spendy/thrifty,Money talks,Prefers separate finances,TRUE,TRUE,Split,
Values,Spendy/thrifty,Money talks,Prefers things over experiences,TRUE,TRUE,New,
Values,Spendy/thrifty,Money talks,Prudent saver,TRUE,FALSE,Same,
Values,Spendy/thrifty,Money talks,Risk-averse investor,TRUE,TRUE,New,
Values,Spendy/thrifty,Money talks,Takes risks while investing,TRUE,TRUE,New,
Values,Spendy/thrifty,Money talks,Wants to be primary caregiver,TRUE,TRUE,Split,
Values,Spendy/thrifty,Money talks,Willing to combine finances,TRUE,TRUE,Split,
Lifestyle,Food & Cooking,Dining compatibility,Health-conscious eater,TRUE,FALSE,Same,