question_id,conversation_starter_id,subcategory (auto-filled),insight_subject,insight_direction,question_stem,question_type,status,image_per_row,multi_select,used_for_conversation_starters,used_on_day_0,question_order_per_subcategory,answer_options,,,,,,,,,,,,,,,,ondevice_model_tags
QID100,CSID100,Outdoor & Adventure,Adventurousness,WHO_I_AM,You prefer outdoor activities.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID101,CSID101,Outdoor & Adventure,Adventurousness,WHO_I_AM,How do you generally spend your weekend?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Relaxing at home,Catching up on work or studying,Going out to bars,"Galleries, museums, concerts",Other,,,,,,,,,,,,
QID105,CSID103,Outdoor & Adventure,Travel compatibility,WHO_I_AM,Time for a vacation! What's your plan?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,TRUE,99999,Relaxing on the beach,Exploring new cities,Festivals or concerts,Somewhere in nature,,,,,,,,,,,,,
QID106,CSID104,Outdoor & Adventure,Travel compatibility,WHO_I_AM,What's your top priority when traveling?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,The food scene,Experiencing new cultures,Exploring tourist attractions,Relaxing,,,,,,,,,,,,,
QID107,CSID105,Outdoor & Adventure,Travel compatibility,WHO_I_AM,Travel is a big part of my life.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID113,,Drinking,Alcohol consumption,WHO_I_WANT,I prefer someone who doesn't drink alcohol.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID116,CSID107,Food & Cooking,Dining compatibility,WHO_I_AM,Date night! Which restaurant would be your first choice?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,TRUE,99999,Italian,Asian,American,Vegetarian,,,,,,,,,,,,,
QID118,CSID108,Food & Cooking,Dining compatibility,WHO_I_AM,It's a weeknight. How do you decide what's for dinner?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Health first. Fuel the body right,"Cravings rule. If it's tasty, I'm eating it",Whatever I've meal planned,New is ideal. I love trying new spots,,,,,,,,,,,,,
QID124,CSID110,Food & Cooking,Food preference,WHO_I_AM,How often do you grab fast food?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,TRUE,99999,Never,Rarely,Sometimes,Regularly,Frequently,,,,,,,,,,,,
QID126,CSID112,Food & Cooking,Food preference,WHO_I_AM,How often do you order takeout or delivery each week?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Never,Rarely,Sometimes,Regularly,,,,,,,,,,,,,
QID128,CSID114,Food & Cooking,Food preference,WHO_I_AM,My grocery haul is mostly healthy foods.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID129,CSID115,Cleanliness,Organization,WHO_I_AM,Your friends would call you a neat freak.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID136,,Spendy/thrifty,Financial tendencies,WHO_I_AM,I'd rather save money for the future than live in the moment.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID138,,Spendy/thrifty,Financial tendencies,WHO_I_AM,What's your money management style?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,I stick to a strict budget,"I budget, but I'm flexible with it",I track my spending casually,I'm more on the spontaneous side,None of the above,,,,,,,,,,,,
QID144,CSID118,Fitness,Active lifestyle compatibility,WHO_I_AM,What motivates you to exercise?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,My competition,My health goals,The endorphin rush,"Not much, really",,,,,,,,,,,,,
QID145,CSID119,Fitness,Active lifestyle compatibility,WHO_I_AM,You'd love to work out with your partner.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID154,CSID120,Fitness,Active lifestyle compatibility,WHO_I_AM,Staying fit is important to you. ,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID158,CSID121,Personality,Extroversion compatibility,WHO_I_AM,"You're definitely a ""night out"" kind of person.",BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID160,CSID123,Personality,Extroversion compatibility,WHO_I_AM,How do you feel about traveling as a group?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Meh,"Not really into it, but I can handle it",Open to it most of the time,Love it!,,,,,,,,,,,,,
QID161,CSID124,Personality,Extroversion compatibility,WHO_I_AM,What kind of social activities do you tend to enjoy the most?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,TRUE,99999,Parties,Sports,Concerts,Chilling alone or with a close group,None of the above,,,,,,,,,,,,
QID162,CSID125,Sleep pattern,Daily routine compatibility,WHO_I_AM,You're very much a night owl. ,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID163,CSID126,Sleep pattern,Daily routine compatibility,WHO_I_AM,You're open to your partner having a different sleep schedule from yours. ,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID166,CSID128,Personality,Extroversion compatibility,WHO_I_AM,You feel energized after hanging out with a big group of friends. ,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID168,CSID129,Personality,Extroversion compatibility,WHO_I_AM,You need time alone at home on weekends.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID170,CSID132,Personality,Extroversion compatibility,WHO_I_AM,Do you prefer to spend your free time alone or with others?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,With others,Alone,It depends!,Prefer not to say,,,,,,,,,,,,,
QID180,CSID133,Communication,Directness,WHO_I_AM,You don't mind if you and your partner have different opinions. ,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID197,CSID136,Career,Career priorities,WHO_I_AM,"For you, work is all about building an empire. ",BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID199,,Personality,Ambition,WHO_I_WANT,I want to meet someone who is highly ambitious.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID206,CSID140,Political views,Political alignment,WHO_I_AM,You're very interested in politics. ,BINARY_TEXT,ACTIVE,,FALSE,TRUE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID207,,Political views,Political alignment,WHO_I_AM,Sharing political views matters to me in a relationship.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID217,CSID142,Future Family,Family values,WHO_I_AM,Following your family traditions is important to you.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID219,CSID143,Future Family,Family values,WHO_I_AM,You enjoy gatherings with close family.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID224,,Future Family,Family values,WHO_I_AM,How often do you speak with your family?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,I talk or text with them every day,I stay in touch a few times a week,I check in occasionally,"I’m more independent, we don't talk much",Prefer not to say,,,,,,,,,,,,
QID258,CSID147,Career,Career priorities,WHO_I_AM,You'd take a job with a lot of travel required.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID259,CSID148,Career,Career priorities,WHO_I_AM,Climbing the career ladder is important to you.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID282,CSID155,Food & Cooking,Food preference,WHO_I_AM,Rise and shine! What's for breakfast? Choose all that apply.,MCQ_IMAGE,ACTIVE,4,TRUE,TRUE,FALSE,99999,BaconAndEggs,Banana,Bread,Cereal,Chocolate,Crepe,Croissant,DimSum,Donut,Muffin,Noodle,PanCake,Sandwich,Waffle,Yogurt,None of the above,
QID316,CSID161,Career,Career priorities,WHO_I_AM,"You work to live, not live to work. ",BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID317,CSID162,Hobbies & Interest,Creative date preferences,WHO_I_AM,You work on creative projects for fun. ,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID318,CSID163,Arts & Science,Artistry,WHO_I_WANT,Handmade gifts are more meaningful to you.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID320,CSID165,Career,Career priorities,WHO_I_AM,You'd move across the country for the right job.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID321,,Career,Career priorities,WHO_I_WANT,Does your partner’s work-life balance matter to you?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,I’d prefer they have a life outside of work,I’d respect if they put their work first,Doesn't matter to me,Prefer not to say,,,,,,,,,,,,,
QID324,CSID167,Career,Career priorities,WHO_I_AM,Your friends call you a workaholic.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID326,CSID169,Career,Career priorities,WHO_I_AM,Do you work while on vacation?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Never,Only for emergencies,"Yes, even though I shouldn’t","Yes, it's mandatory",,,,,,,,,,,,,
QID329,CSID172,Cleanliness,Organization,WHO_I_AM,Who cleans your home?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,"I do, by myself",I share duties with roommates,I pay a house cleaner,Clean?,,,,,,,,,,,,,
QID336,CSID400,Arts & Science,Artistry,WHO_I_WANT,Which would you find attractive in a partner?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Loves to dance,Loves to sing,Loves photography,Loves to write,,,,,,,,,,,,,
QID339,CSID181,Food & Cooking,Dining compatibility,WHO_I_AM,Do you like spicy food?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Yep. Hotter the better!,"Mild, please!",It depends,,,,,,,,,,,,,,
QID340,CSID182,Hobbies & Interest,Cooking,WHO_I_WANT,Do you want a partner you can cook with?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,"Yes, I love cooking together","No, get out of my kitchen!",We try it,,,,,,,,,,,,,,
QID341,CSID183,Spendy/thrifty,Money talks,WHO_I_AM,Who do you prefer to manage your household finances?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Me,My partner,We'd share the responsibility,I'd keep our finances separate,,,,,,,,,,,,,
QID342,CSID184,Hobbies & Interest,Gaming compatibility,WHO_I_AM,You consider yourself a gamer. ,BINARY_TEXT,ACTIVE,,FALSE,TRUE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID343,CSID185,Communication,Conflict resolution,WHO_I_AM,You forgive and forget.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID344,CSID186,Hobbies & Interest,Gaming compatibility,WHO_I_AM,You enjoy watching others play video games. ,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID345,CSID187,Hobbies & Interest,Gaming compatibility,WHO_I_AM,How often do you play video games?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Frequently,Never,Sometimes,Regularly,,,,,,,,,,,,,
QID346,CSID188,Hobbies & Interest,Gaming compatibility,WHO_I_WANT,Do you want a partner who plays video games?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Makes no difference to me,I'd love if they did,I'd prefer they don't,Other,,,,,,,,,,,,,
QID348,CSID190,Hobbies & Interest,Gaming compatibility,WHO_I_AM,What kinds of games are you into? Choose all that apply.,MCQ_TEXT,ACTIVE,,TRUE,TRUE,FALSE,99999,Video games,Turn-based strategy or MMORPGs,"Board, card, or tabletop games",I don't like games,Puzzle or casual games,,,,,,,,,,,,
QID349,CSID191,Fitness,Fitness/Sports,WHO_I_AM,What outdoor sports do you enjoy? Choose all that apply.,MCQ_IMAGE,ACTIVE,4,TRUE,TRUE,FALSE,99999,Kayak,Archery,MountainBike,RiverRaft,Ski,Snowboard,Hockey,FigureSkate,ATV,Fishing,Golf,Tennis,Croquet,Frisbee,Cornhole,Soccer,
QID350,CSID192,Outdoor & Adventure,Travel compatibility,WHO_I_AM,You have a passport and you're ready to use it. ,BINARY_TEXT,ACTIVE,,FALSE,TRUE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID351,CSID193,Career,Work vibes,WHO_I_AM,You regularly travel for work.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID352,,Career,Work vibes,WHO_I_WANT,You prefer dating someone who doesn't travel a lot for work.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID353,,Outdoor & Adventure,Travel compatibility,WHO_I_WANT,You would be okay with dating someone who has a fear of flying.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID355,CSID195,Outdoor & Adventure,Travel compatibility,WHO_I_AM,Do you usually stay in a hotel or hostel?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Hotel,Hostel,,,,,,,,,,,,,,,
QID356,CSID196,Outdoor & Adventure,Travel compatibility,WHO_I_AM,You would love to live on a boat.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID357,CSID197,Entertainment,Favorite Movie,WHO_I_AM,What types of movies do you like? Choose all that apply.,MCQ_TEXT,ACTIVE,,TRUE,TRUE,TRUE,99999,Comedy,Sci-fi adventure,Historical drama,Horror or thriller,Animated,,,,,,,,,,,,
QID358,,Outdoor & Adventure,Travel compatibility,WHO_I_AM,What vacation sounds more your speed?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,Summit a mountain,Visiting the tourist spots,Spa treatments at a resort,Read a book on the beach,Other,,,,,,,,,,,,
QID360,CSID200,Outdoor & Adventure,Travel compatibility,WHO_I_AM,"When you travel, do you plan an itinerary?",MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,"Yes, I love a solid plan","No, I prefer to let it unfold",I don't travel that much,,,,,,,,,,,,,,
QID362,,Entertainment,Music,WHO_I_AM,"When my favorite song comes on, I immediately sing along.",BINARY_TEXT,ACTIVE,,FALSE,FALSE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID363,CSID202,Personality,Personality,WHO_I_AM,"Are you the ""planner"" in your family or friend group?",MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,"No, and I love it","Yes, but it stresses me out","No, I tend to go with the flow",I prefer to do things alone,,,,,,,,,,,,,
QID364,CSID203,Personality,Ambition,WHO_I_AM,Do you strive for promotions at work?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,"Of course, it's all about the climb","Not really, I'm happy where I am","If it's meant to be, it will be",,,,,,,,,,,,,,
QID365,CSID204,Personality,Ambition,WHO_I_AM,Thoughts on retiring early?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,A goal I’m working toward,Nice if it happens,Fast way to die of boredom,Retire? In this economy?,,,,,,,,,,,,,
QID366,CSID205,Pets,Pet compatibility,WHO_I_AM,Are you allergic to cats or dogs?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,"Yes, cats","Yes, dogs","Yes, both cats and dogs",Not allergic,,,,,,,,,,,,,
QID367,CSID206,Pets,Pet compatibility,WHO_I_AM,Would you adopt a pet with a partner?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,Maybe,,,,,,,,,,,,,,
QID369,CSID208,Pets,Pet friendliness,WHO_I_AM,"It's fine to bring a dog on a date. Better, even!",BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID37,,Sex,Sex adventurousness,WHO_I_WANT,"In the intimacy department, I'd rather keep it more vanilla.",BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID372,CSID211,Political views,Political alignment,WHO_I_AM,Should abortion be legal?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,"Yes, always",With some restrictions,No,Prefer not to say,,,,,,,,,,,,,
QID375,CSID212,Hobbies & Interest,Creative date preferences,WHO_I_AM,What would you enjoy the most?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Safari zone at a zoo,Penguin shows at an aquarium,Peaceful botanical garden,Just a regular day at a cafe,,,,,,,,,,,,,
QID376,,Relationship expectations,Independence,WHO_I_AM,Would you let your partner go through your phone?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No way,"Yes, of course",Only if they let me go through theirs,Prefer not to say,,,,,,,,,,,,,
QID378,,Religion,Religion,WHO_I_AM,You're a spiritual person.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID380,CSID214,Religion,Religion,WHO_I_AM,Do you observe religious holidays?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,"No, I don't observe any","Yes, but more for tradition","Some, but not all",I actively observe most or all,Prefer not to say,,,,,,,,,,,,
QID382,,Religion,Religion,WHO_I_WANT,Do you want a partner who shares your religion?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,Very much so,Doesn't matter to me,"I’m not religious, but I don’t mind if they are",I prefer they aren’t religious,Not sure,,,,,,,,,,,,
QID386,,Sex,Expectations around sex,WHO_I_WANT,How do you feel about having friends with benefits?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,Not for me,Yes please,"Not sure, but I'm open to it",Prefer not to say,,,,,,,,,,,,,
QID388,,Sex,Expectations around sex,WHO_I_AM,Is a partner’s sexual history important to you?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,Not at all,Maybe a little,Yes,Prefer not to say,,,,,,,,,,,,,
